event_name,ip,timestamp
carrier_kr_false_192.0.0.1,223.62.11.11,2022-02-14 14:53
carrier_kr_false_192.0.0.4_KT_kr_KT_false,118.235.12.4,2022-02-14 14:53
carrier_kr_false_192.0.0.4_SKTelecom_kr_SKTelecom_false,223.39.138.4,2022-02-14 14:53
carrier_kr_false_192.0.0.4_KT_kr_KT_false,118.235.6.10,2022-02-14 14:53
carrier_kr_false_192.0.0.1,118.235.11.8,2022-02-14 14:53
carrier_kr_false_192.0.0.5_SK Telecom_kr_SKTelecom_false,223.38.52.3,2022-02-14 14:53
carrier_kr_false_192.0.0.4_LGU+_kr_LG U+_false,106.101.67.21,2022-02-14 14:53
carrier_kr_false_192.168.45.244,39.123.116.6,2022-02-14 14:53
carrier_kr_false_192.168.123.101_LGU+_kr_LG U+_false,182.231.135.8,2022-02-14 14:53
carrier_kr_false_10.184.229.198,175.223.15.11,2022-02-14 14:53
carrier_kr_false_192.0.0.4_SK Telecom_kr_SKTelecom_false,223.38.72.10,2022-02-14 14:52
carrier_kr_false_192.0.0.4__kr_KT_false,125.188.255.22,2022-02-14 14:52
carrier_kr_false_192.0.0.2_SK Telecom_kr_SKTelecom_false,223.38.8.2,2022-02-14 14:52
carrier_kr_false_192.0.0.4_SK Telecom_kr_SKTelecom_false,23.38.56.125,2022-02-14 14:52
carrier_kr_false_172.30.1.24_LGU+_kr_LG U+_false,75.193.64.62,2022-02-14 14:52
carrier_kr_false_192.0.0.1,23.39.207.65,2022-02-14 14:52
carrier_kr_false_192.0.0.1,23.38.10.13,2022-02-14 14:52
carrier_kr_false_192.168.35.247,1.237.72.8,2022-02-14 14:52
carrier_kr_false_192.0.0.4_KT_kr_KT_false,18.235.13.65,2022-02-14 14:52
carrier_kr_false_192.168.219.168,12.151.171.224,2022-02-14 14:52
carrier_kr_false_172.30.1.12_KT_kr_KT_false,3.107.241.51,2022-02-14 14:52
carrier_kr_false_192.168.0.13,9.12.246.31,2022-02-14 14:52
carrier_kr_false_172.30.1.33_KT_kr_KT_false,18.32.75.109,2022-02-14 14:52
carrier_kr_false_172.30.1.39_KT_kr_KT_false,1.167.10.242,2022-02-14 14:52
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
